ACCLASS,VISIBILITY,LIGHT,INJURY,INVTYPE,INITDIR,DIVISION,COLLISION_DATE,COLLISION_YEAR,COLLISION_TIME,HOUR,WEATHER,NEIGHBOURHOOD
Non-Fatal Injury,Rain,Dark,Major,Pedestrian,East,D11,2006-01-04,2006,2006-01-04T19:40:00Z,19,Adverse,Dufferin Grove
Non-Fatal Injury,Clear,Other,Major,Pedestrian,West,D33,2006-01-06,2006,2006-01-06T22:10:00Z,22,Clear,Don Valley Village
Fatal,Clear,Dark,Fatal,Pedestrian,East,D23,2006-01-08,2006,2006-01-08T18:28:00Z,18,Clear,Elms-Old Rexdale
Fatal,Clear,Daylight,Fatal,Pedestrian,East,D41,2006-01-09,2006,2006-01-09T14:35:00Z,14,Clear,Dorset Park
Non-Fatal Injury,Clear,Other,Major,Pedestrian,East,D42,2006-01-09,2006,2006-01-09T18:20:00Z,18,Clear,Agincourt North
Non-Fatal Injury,Clear,Dark,Major,Pedestrian,North,D53,2006-01-14,2006,2006-01-14T20:58:00Z,20,Clear,Yonge-Eglinton
Non-Fatal Injury,Clear,Dark,Major,Pedestrian,None,D11,2006-01-15,2006,2006-01-15T18:12:00Z,18,Clear,Runnymede-Bloor West Village
Non-Fatal Injury,Rain,Dark,Major,Pedestrian,South,D32,2006-01-17,2006,2006-01-17T19:40:00Z,19,Adverse,Lansing-Westgate
Non-Fatal Injury,Rain,Dark,Major,Pedestrian,South,D43,2006-01-17,2006,2006-01-17T22:00:00Z,22,Adverse,West Hill
Non-Fatal Injury,Rain,Dark,Major,Pedestrian,None,D55,2006-01-17,2006,2006-01-17T23:50:00Z,23,Adverse,Woodbine-Lumsden
Fatal,Clear,Dusk,Major,Pedestrian,West,D42,2006-01-21,2006,2006-01-21T18:29:00Z,18,Clear,Agincourt South-Malvern West
Fatal,Clear,Dusk,Fatal,Pedestrian,West,D42,2006-01-21,2006,2006-01-21T18:29:00Z,18,Clear,Agincourt South-Malvern West
Non-Fatal Injury,Clear,Dark,Major,Pedestrian,None,D43,2006-01-22,2006,2006-01-22T23:00:00Z,23,Clear,West Hill
