DATE,TIME,ACCLASS,VISIBILITY,LIGHT,RDSFCOND,INJURY,INVTYPE,INITDIR,NEIGHBOURHOOD_158,DIVISION
2020-12-05,20:51,Collision,Rain,Daylight,Dry,Minor,Driver,NE,Neighbourhood 15,Division 5
2022-08-19,15:14,Near Miss,Snow,Dark,Ice,None,Cyclist,SE,Neighbourhood 14,Division 2
2021-05-15,19:09,Near Miss,Clear,Daylight,Ice,Minor,Driver,E,Neighbourhood 10,Division 5
2022-09-29,03:25,Collision,Rain,Dawn,Slush,None,Pedestrian,SW,Neighbourhood 10,Division 4
2018-01-08,11:27,Near Miss,Clear,Daylight,Slush,Minor,Cyclist,SE,Neighbourhood 5,Division 3
2014-10-31,01:05,Collision,Rain,Dusk,Ice,None,Pedestrian,NE,Neighbourhood 12,Division 3
2016-07-29,23:10,Collision,Rain,Daylight,Dry,Fatal,Passenger,NE,Neighbourhood 19,Division 4
2018-08-08,11:58,Near Miss,Other,Daylight,Wet,None,Driver,NE,Neighbourhood 9,Division 3
2021-01-01,18:59,Collision,Fog,Dark,Dry,None,Cyclist,NE,Neighbourhood 10,Division 3
2023-11-19,17:47,Collision,Clear,Dark,Ice,Minor,Cyclist,N,Neighbourhood 6,Division 4
2013-05-19,05:26,Near Miss,Fog,Daylight,Dry,Major,Driver,N,Neighbourhood 3,Division 4
2014-09-04,16:23,Near Miss,Rain,Daylight,Slush,Minor,Cyclist,W,Neighbourhood 12,Division 4
2021-02-02,09:05,Near Miss,Snow,Dusk,Ice,Minor,Driver,W,Neighbourhood 6,Division 4
2013-01-05,03:15,Collision,Rain,Dusk,Wet,Fatal,Passenger,NE,Neighbourhood 17,Division 3
2017-04-21,14:25,Near Miss,Clear,Dark,Wet,None,Driver,N,Neighbourhood 17,Division 4
2018-02-01,08:00,Near Miss,Rain,Dark,Dry,Minor,Passenger,E,Neighbourhood 14,Division 5
2017-04-08,19:22,Collision,Rain,Daylight,Dry,None,Pedestrian,SE,Neighbourhood 1,Division 5
2017-06-05,12:42,Collision,Clear,Dusk,Wet,Minor,Passenger,NW,Neighbourhood 8,Division 5
2014-12-20,04:46,Near Miss,Snow,Daylight,Wet,None,Pedestrian,S,Neighbourhood 17,Division 1
2023-06-19,13:10,Collision,Snow,Daylight,Wet,Minor,Cyclist,NW,Neighbourhood 7,Division 2
2017-12-28,19:32,Near Miss,Snow,Dusk,Snow,None,Cyclist,NE,Neighbourhood 8,Division 5
2016-08-05,22:42,Near Miss,Snow,Dawn,Wet,None,Driver,E,Neighbourhood 19,Division 5
2023-08-14,21:36,Near Miss,Clear,Dusk,Dry,Minor,Driver,N,Neighbourhood 7,Division 2
2020-10-12,01:44,Collision,Rain,Daylight,Ice,Minor,Pedestrian,W,Neighbourhood 9,Division 3
2020-02-02,14:13,Collision,Fog,Dusk,Slush,None,Driver,NW,Neighbourhood 17,Division 1
2017-04-15,15:27,Near Miss,Clear,Dark,Dry,None,Passenger,N,Neighbourhood 10,Division 3
2020-09-06,06:33,Collision,Fog,Dawn,Wet,Minor,Cyclist,E,Neighbourhood 3,Division 5
2018-12-25,13:29,Collision,Clear,Dark,Slush,Major,Driver,N,Neighbourhood 9,Division 4
2015-06-29,10:45,Collision,Fog,Daylight,Wet,Minor,Cyclist,S,Neighbourhood 15,Division 4
